Dagar,Månad,Dag,Precip Medel,Temperature Medel
318,11,14,3.54,6.83
319,11,15,1.8,7.37
320,11,16,2.44,6.21
321,11,17,2.9,5.89
322,11,18,4.68,6.03
323,11,19,1.79,4.89
324,11,20,4.0,3.98
325,11,21,2.5,3.87
326,11,22,4.02,4.36
327,11,23,2.27,4.47
328,11,24,4.17,4.33
329,11,25,2.48,4.62
330,11,26,2.48,4.55
331,11,27,2.0,4.19
332,11,28,4.27,3.82
333,11,29,4.03,2.97
334,11,30,1.1,3.17
335,12,1,2.43,2.66
336,12,2,2.43,2.42
337,12,3,3.04,2.72
338,12,4,2.38,3.05
339,12,5,3.3,4.05
340,12,6,3.14,3.3
341,12,7,4.21,3.46
342,12,8,4.05,4.0
343,12,9,3.17,3.72
344,12,10,4.18,2.79
345,12,11,3.04,2.9
346,12,12,2.45,1.55
347,12,13,3.25,2.15
348,12,14,3.13,2.48
349,12,15,2.84,2.38
350,12,16,1.65,2.11
351,12,17,2.09,1.65
352,12,18,2.01,2.2
353,12,19,1.73,2.37
354,12,20,2.1,2.23
355,12,21,2.2,1.75
356,12,22,1.6,1.94
357,12,23,2.34,1.65
358,12,24,3.08,1.0
359,12,25,3.49,0.99
360,12,26,4.18,1.04
361,12,27,3.32,1.5
362,12,28,4.78,0.71
363,12,29,3.5,1.16
364,12,30,2.55,1.43
365,12,31,2.0,0.29
